,#,Name,Country,Latitude,Longitude
12,113,Bois-Guillaume,France,49.47047839957688,1.1200924
13,114,Boissy-Saint-Léger,France,48.74791929975485,2.5124717
14,115,Bolbec,France,49.57390909955196,0.4742448000000001
15,116,Bollène,France,44.280388200520854,4.7484092
16,117,Bondues,France,50.703462199303736,3.0921637999999994
17,118,Bondy,France,48.90309999971635,2.48291
18,119,Bonneuil-sur-Marne,France,48.773711599748445,2.4869009
19,120,Bonneville,France,46.0775797003303,6.4086189
0,121,Bouc-Bel-Air,France,43.451181900542004,5.412784799999999
1,122,Bouéni,France,-12.910708600202874,45.0801256
2,123,Bouguenais,France,47.17930100012378,-1.6233691
3,124,Boulogne-sur-Mer,France,50.7259984992994,1.6118770999999998
4,125,Bourg-de-Péage,France,45.03543750046483,5.0520015
5,126,Bourg-en-Bresse,France,46.205119200309525,5.2250324
6,127,Bourges,France,47.081439600144414,2.3986275000000004
7,128,Bourg-la-Reine,France,48.779517799747,2.3160849999999997
8,129,Bourg-lès-Valence,France,44.95282220047268,4.8953847
9,130,Bourgoin-Jallieu,France,45.58722590040163,5.2828123
10,131,Bourg-Saint-Maurice,France,45.61852840039749,6.769431299999999
11,132,Bras-Panon,France,-20.998743500306507,55.6847941
12,133,Bressuire,France,46.84255720019303,-0.4929017
13,134,Brétigny-sur-Orge,France,48.60998869978902,2.3075288
14,135,Briançon,France,44.89840370047764,6.6436313
15,136,Brie-Comte-Robert,France,48.6904521997691,2.6166736999999998
16,137,Brignais,France,45.67397550039002,4.7540703
17,138,Brignoles,France,43.40644010054198,6.0616452
18,139,Brioude,France,45.29389700043754,3.3853710999999995
19,140,Brive-la-Gaillarde,France,45.15849820045234,1.5332388999999997
0,141,Bron,France,45.73375320038178,4.9092351999999995
1,142,Brou,France,48.2156348998858,1.1660734
2,143,Bruay-la-Buissière,France,50.48219629934776,2.5461921999999997
3,144,Bruay-sur-l'Escaut,France,50.397276999365374,3.5379104999999997
4,145,Bruges,France,44.88423790047889,-0.6111473999999999
5,146,Brunoy,France,48.69793119976723,2.5044613
6,147,Bruz,France,48.02458139993183,-1.7471629
7,148,Bry-sur-Marne,France,48.83528719973319,2.5193322
8,149,Bully-les-Mines,France,50.44639999935515,2.7198899999999995
9,150,Bussy-Saint-Georges,France,48.84302569973126,2.6973858
10,151,Cabestany,France,42.67995140052592,2.9403263000000006
11,152,Cachan,France,48.79454129974328,2.3340758
12,153,Cagnes-sur-Mer,France,43.66120120054055,7.151383399999999
13,154,Cahors,France,44.44950000051139,1.4364999
