,year,date,stage,vertical_meters,profile_score,ps_25
17,2009.0,22/07,Stage 17 | Bourg-Saint-Maurice - Le Grand Bornand (169.5 km),4781,343,110
18,2009.0,23/07,Stage 18 (ITT) | Annecy - Annecy (40.5 km),344,27,27
19,2009.0,24/07,Stage 19 | Bourgoin-Jallieu - Aubenas (178 km),1891,63,33
20,2009.0,25/07,Stage 20 | Montélimar - Mont Ventoux (167 km),3767,343,288
21,2009.0,26/07,Stage 21 | Montereau - Paris (164 km),521,1,0
1,2010.0,03/07,Prologue | Rotterdam - Rotterdam (8.9 km),43,1,1
2,2010.0,04/07,Stage 1 | Rotterdam - Brussel (223.5 km),420,0,0
3,2010.0,05/07,Stage 2 | Brussel - Spa (201 km),2708,98,28
4,2010.0,06/07,Stage 3 | Wanze - Arenberg Porte du Hainaut (213 km),1168,7,0
5,2010.0,07/07,Stage 4 | Cambrai - Reims (153.5 km),1107,7,0
6,2010.0,08/07,Stage 5 | Épernay - Montargis (187.5 km),1374,19,1
7,2010.0,09/07,Stage 6 | Montargis - Gueugnon (227.5 km),2345,44,10
8,2010.0,10/07,Stage 7 | Tournus - Station des Rousses (165.5 km),3446,211,100
9,2010.0,11/07,Stage 8 | Station des Rousses - Morzine-Avoriaz (189 km),3636,297,164
10,2010.0,13/07,Stage 9 | Morzine-Avoriaz - Saint-Jean-de-Maurienne (204.5 km),5144,264,1
11,2010.0,14/07,Stage 10 | Chambéry - Gap (179 km),3187,162,24
12,2010.0,15/07,Stage 11 | Sisteron - Bourg-lès-Valence (184.5 km),1264,21,5
13,2010.0,16/07,Stage 12 | Bourg-de-Péage  - Mende (210.5 km),3485,143,76
14,2010.0,17/07,Stage 13 | Rodez - Revel (196 km),2163,60,24
15,2010.0,18/07,Stage 14 | Revel - Ax-3 Domaines (184.5 km),3796,324,133
16,2010.0,19/07,Stage 15 | Pamiers - Bagnères-de-Luchon (187.5 km),3542,237,72
17,2010.0,20/07,Stage 16 | Bagnères-de-Luchon - Pau (199.5 km),4721,202,4
18,2010.0,22/07,Stage 17 | Pau - Col du Tourmalet (174 km),4681,410,261
19,2010.0,23/07,Stage 18 | Salies-de-Béarn - Bordeaux (198 km),1056,9,0
20,2010.0,24/07,Stage 19 (ITT) | Bordeaux - Pauillac (52 km),167,0,0
21,2010.0,25/07,Stage 20 | Longjumeau  - Paris (102.5 km),481,6,1
1,2011.0,02/07,Stage 1 | Passage Du Gois La Barre-de-monts - Mont Des Alouettes Les Herbiers (191.5 km),1286,35,26
2,2011.0,03/07,Stage 2 (TTT) | Les Essarts - Les Essarts (23 km),188,0,0
3,2011.0,04/07,Stage 3 | Olonne-sur-mer - Redon (198 km),1066,11,6
4,2011.0,05/07,Stage 4 | Lorient - Mûr-de-Bretagne (172.5 km),2250,83,53
5,2011.0,06/07,Stage 5 | Carhaix - Cap Fréhel (164.5 km),1652,39,14
6,2011.0,07/07,Stage 6 | Dinan - Lisieux (226.5 km),2373,52,12
7,2011.0,08/07,Stage 7 | Le Mans - Châteauroux (215 km),1304,6,1
8,2011.0,09/07,Stage 8 | Aigurande - SuperBesse (190 km),3019,130,53
9,2011.0,10/07,Stage 9 | Issoire - Saint-Flour (208 km),3975,160,39
10,2011.0,12/07,Stage 10 | Aurillac - Carmaux (161 km),1933,77,28
11,2011.0,13/07,Stage 11 | Blaye-les-mines - Lavaur (168.5 km),1695,42,6
12,2011.0,14/07,Stage 12 | Cugnaux - Luz Ardiden (211 km),4563,399,181
13,2011.0,15/07,Stage 13 | Pau - Lourdes (152.5 km),2605,148,3
14,2011.0,16/07,Stage 14 | Saint-Gaudens - Plateau De Beille (168.5 km),5420,462,257
15,2011.0,17/07,Stage 15 | Limoux - Montpellier (192.5 km),1464,25,2
16,2011.0,19/07,Stage 16 | Saint-Paul-Trois-Châteaux - Gap (162.5 km),2372,90,66
17,2011.0,20/07,Stage 17 | Gap - Pinerolo (179 km),3193,170,78
18,2011.0,21/07,Stage 18 | Pinerolo - Galibier Serre-Chevalier (189 km),5268,329,164
19,2011.0,22/07,Stage 19 | Modane - Alpe d’huez (109.5 km),3571,368,239
20,2011.0,23/07,Stage 20 (ITT) | Grenoble - Grenoble (42.5 km),709,53,35
21,2011.0,24/07,Stage 21 | Créteil - Paris (95 km),436,2,0
1,2012.0,30/06,Prologue | Liège - Liège (6.4 km),79,0,0
2,2012.0,01/07,Stage 1 | Liege - Seraing (198 km),2680,66,20
3,2012.0,02/07,Stage 2 | Vise - Tournai (207.5 km),1509,18,5
4,2012.0,03/07,Stage 3 | Orchies - Boulogne-sur-mer (197 km),1551,86,54
5,2012.0,04/07,Stage 4 | Abbeville - Rouen (214.5 km),1698,25,6
6,2012.0,05/07,Stage 5 | Rouen - Saint-quentin (196.5 km),1250,11,3
7,2012.0,06/07,Stage 6 | Epernay - Metz (205 km),1535,16,2
8,2012.0,07/07,Stage 7 | Tomblaine - La Planche Des Belles Filles (199 km),2736,168,128
9,2012.0,08/07,Stage 8 | Belfort - Porrentruy (157.5 km),3072,179,62
10,2012.0,09/07,Stage 9 (ITT) | Arc-et-senans - Besancon (41.5 km),499,35,20
11,2012.0,11/07,Stage 10 | Macon - Bellegarde-sur-valserine (194.5 km),3350,208,46
12,2012.0,12/07,Stage 11 | Albertville - La Toussuire - Les Sybelles (148 km),4987,387,169
13,2012.0,13/07,Stage 12 | Saint-Jean-de-Maurienne - Annonay Davézieux (226 km),3399,126,30
14,2012.0,14/07,Stage 13 | Saint-Paul-Trois-Châteaux - Cap d'Agde (217 km),1795,50,33
15,2012.0,15/07,Stage 14 | Limoux - Foix (191 km),3284,206,19
16,2012.0,16/07,Stage 15 | Samatan - Pau (158.5 km),2173,71,11
17,2012.0,18/07,Stage 16 | Pau - Bagnères-de-Luchon (197 km),5291,293,113
18,2012.0,19/07,Stage 17 | Bagnères-de-Luchon - Peyragudes (143.5 km),4383,400,182
19,2012.0,20/07,Stage 18 | Blagnac - Brive-la-Gaillarde (222.5 km),2146,55,18
20,2012.0,21/07,Stage 19 (ITT) | Bonneval - Chartres (53.5 km),249,2,1
21,2012.0,22/07,Stage 20 | Rambouillet - Paris (120 km),699,7,0
1,2013.0,29/06,Stage 1 | Porto-Vecchio - Bastia (213 km),1529,13,0
2,2013.0,30/06,Stage 2 | Bastia - Ajaccio (156 km),2373,95,20
3,2013.0,01/07,Stage 3 | Ajaccio - Calvi (145.5 km),2426,109,52
4,2013.0,02/07,Stage 4 (TTT) | Nice - Nice (25 km),48,0,0
5,2013.0,03/07,Stage 5 | Cagnes-sur-Mer - Marseille (228.5 km),2775,68,19
6,2013.0,04/07,Stage 6 | Aix-en-Provence - Montpellier (176.5 km),837,8,1
7,2013.0,05/07,Stage 7 | Montpellier - Albi (205.5 km),2675,66,4
8,2013.0,06/07,Stage 8 | Castres - Ax-3 Domaines (195 km),3839,345,149
9,2013.0,07/07,Stage 9 | Saint Girons - Bagnéres de Bigorre (168.5 km),4411,252,0
10,2013.0,09/07,Stage 10 | Saint-Gildas-des-Bois - Saint-Malo (197 km),1762,25,7
11,2013.0,10/07,Stage 11 (ITT) | Avranches - Mont-Saint-Michel (33 km),283,6,3
12,2013.0,11/07,Stage 12 | Fougères - Tours (218 km),1425,10,1
13,2013.0,12/07,Stage 13 | Tours - Saint-Amand-Montrond (173 km),1036,7,4
14,2013.0,13/07,Stage 14 | Saint-Pourçain-sur-Sioule - Lyon (191 km),2158,60,16
15,2013.0,14/07,Stage 15 | Givors - Mont Ventoux (242.5 km),4146,342,294
16,2013.0,16/07,Stage 16 | Vaison-la-Romaine - Gap (168 km),3073,123,65
17,2013.0,17/07,Stage 17 (ITT) | Embrun - Chorges (32 km),928,104,64
18,2013.0,18/07,Stage 18 | Gap - Alpe d'Huez (172.5 km),4789,417,235
19,2013.0,19/07,Stage 19 | Le Bourg d'Oisans - Le Grand Bornand (204.5 km),5567,369,155
20,2013.0,20/07,Stage 20 | Annecy - Le Semnoz (125 km),3909,353,221
21,2013.0,21/07,Stage 21 | Château de Versailles - Paris (118 km),766,8,0
1,2014.0,05/07,Stage 1 | Leeds - Harrogate (190.5 km),2092,50,7
2,2014.0,06/07,Stage 2 | York - Sheffield (201 km),3347,160,50
3,2014.0,07/07,Stage 3 | Cambridge - London (155 km),834,4,1
4,2014.0,08/07,Stage 4 | Le Touquet Paris-Plage - Lille (163.5 km),1118,21,1
5,2014.0,09/07,Stage 5 | Ypres - Arenberg Porte du Hainaut (155.5 km),475,0,0
6,2014.0,10/07,Stage 6 | Arras - Reims (194 km),1422,23,1
7,2014.0,11/07,Stage 7 | Epernay - Nancy (234.5 km),2076,55,37
8,2014.0,12/07,Stage 8 | Tomblaine - Gerardmer (161 km),1872,150,137
9,2014.0,13/07,Stage 9 | Gerardmer - Mulhouse (170 km),3373,137,0
10,2014.0,14/07,Stage 10 | Mulhouse - La Planche des Belles Filles (161.5 km),3906,303,184
11,2014.0,16/07,Stage 11 | Besançon - Oyonnax (187.5 km),2711,128,42
12,2014.0,17/07,Stage 12 | Bourg-en-Bresse - Saint-Etienne (185.5 km),2530,64,10
13,2014.0,18/07,Stage 13 | Saint-Etienne - Chamrousse (197.5 km),3865,363,249
14,2014.0,19/07,Stage 14 | Grenoble - Risoul (177 km),4838,344,172
15,2014.0,20/07,Stage 15 | Tallard - Nîmes (222 km),1675,20,2
16,2014.0,22/07,Stage 16 | Carcassonne - Bagneres-de-Luchon (237.5 km),4047,247,71
17,2014.0,23/07,Stage 17 | Saint-Gaudens - Saint-Lary-Soulan (Pla d'Adet) (124.5 km),3810,410,212
