,name,strava_id
0,VAN DER POEL  Mathieu,559834
0,ARANBURU  Alex,7094043
0,HAMILTON  Lucas,
0,VAN MOER  Brent,3855537
0,BOIVIN  Guillaume,616061
0,O'CONNOR  Ben,4097457
0,CATTANEO  Mattia,10887608
0,DONOVAN  Mark,1284150
0,BISSEGGER  Stefan,4671192
0,EEKHOFF  Nils,3745308
0,GUERREIRO  Ruben,2289445
0,PARET-PEINTRE  Aurélien,1821678
0,DE BOD  Stefan,
0,RICKAERT  Jonas,2738100
0,RUTSCH  Jonas,18722207
0,BENNETT  Sean,
0,ARMIRAIL  Bruno,2192184
0,WALLAYS  Jelle,16345356
0,BALLERINI  Davide,
0,BARBERO  Carlos,
0,DLAMINI  Nic,
0,FERNÁNDEZ  Rubén,
0,BONNAMOUR  Franck,4018952
0,DOUBEY  Fabien,8819545
0,RODRÍGUEZ  Cristián,9796680
0,DE LA PARTE  Víctor,
0,VAN DER SANDE  Tosh,1750959
0,SCOTSON  Miles,37431444
0,WRIGHT  Fred,25495602
0,CABOT  Jérémy,1796710
0,GEOGHEGAN HART  Tao,
0,CAMPENAERTS  Victor,620617
0,MCNULTY  Brandon,1126469
0,VLIEGEN  Loïc,
0,ARCAS  Jorge,2276607
0,ROTA  Lorenzo,5387245
0,GODON  Dorian,1809256
0,BJERG  Mikkel,9640608
0,MERLIER  Tim,5727288
0,SWEENY  Harry,743112
0,SBARAGLI  Kristian,2006007
0,ZIMMERMANN  Georg,5284986
0,SCHELLING  Ide,4056436
0,GOLDSTEIN  Omer,36281396
0,GANNA  Filippo,3574069
0,PIDCOCK  Thomas,
0,VLASOV  Aleksandr,19916624
0,VERMEERSCH  Florian,9421925
0,THOMAS  Benjamin,1700745
0,TUSVELD  Martijn,648928
0,JORGENSON  Matteo,557974
0,GOOSSENS  Kobe,4411135
0,BAGIOLI  Andrea,19593505
0,VAN HOOYDONCK  Nathan,
0,SIMMONS  Quinn,4375151
0,GENIETS  Kevin,13787818
0,LEKNESSUND  Andreas,5474979
0,DOULL  Owain,280368
0,DAINESE  Alberto,15121707
0,LECROQ  Jérémy,
0,VAN DER HOORN  Taco,676750
0,HONORÉ  Mikkel Frølich,270912
0,VELASCO  Simone,522423
0,CAPIOT  Amaury,2613903
0,HAMILTON  Chris,2754904
0,VERMAERKE  Kevin,29140444
0,GRADEK  Kamil,2450702
0,BOUCHARD  Geoffrey,104028
0,LOUVEL  Matis,6860614
0,RIABUSHENKO  Alexandr,
0,DEWULF  Stan,3470393
0,SCHULTZ  Nick,358580
0,KRON  Andreas,8783869
0,SCHÖNBERGER  Sebastian,10045754
0,JAKOBSEN  Fabio,
0,STORER  Michael,17191487
0,DOMBROWSKI  Joe,276702
0,OWSIAN  Łukasz,20332275
0,TORRES  Albert,584854
0,KRIEGER  Alexander,
0,PLANCKAERT  Edward,31541211
0,LAFAY  Victor,3311860
0,KIRSCH  Alex,2590526
0,MOZZATO  Luca,3404110
0,HINDLEY  Jai,1760759
0,SKJELMOSE  Mattias,
0,RODRÍGUEZ  Carlos,
0,STRONG  Corbin,3419730
0,VAN GILS  Maxim,19005138
0,DINHAM  Matthew,
0,JOHANNESSEN  Tobias Halland,
0,HARPER  Chris,
0,GALL  Felix,5060232
0,BERTHET  Clément,7186660
0,LÓPEZ  Juan Pedro,3098895
0,CHARMIG  Anthon,4027056
0,TRÆEN  Torstein,2674561
0,GIRMAY  Biniam,
0,HERMANS  Quinten,9162783
0,SHAW  James,4848511
0,PEDRERO  Antonio,
0,CHAMPOUSSIN  Clément,3429256
0,ZINGLE  Axel,6973093
0,BIERMANS  Jenthe,2305481
0,GUGLIELMI  Simon,5543279
0,VAN DEN BERG  Lars,17170741
0,ABRAHAMSEN  Jonas,3249116
0,TILLER  Rasmus,3905720
0,WÆRENSKJOLD  Søren,
0,TURNER  Ben,18956034
0,REINDERS  Elmar,19222952
0,EDMONDSON  Alex,
0,WELSFORD  Sam,6238618
